#,Operador,Nombre de la Estación,SITE ID,"Cell ID 1ra
portadora","Cell ID 2ra
portadora2","Cell ID 3ra
portadora",Categoría,"Tecnología
2G","Tecnología
HSPA+","Tecnología
WIMAX","Tecnología
LTE",LTE 1900,"Tecnología
LTE FIJO",Departamento,Provincia,"Ciudad, municipio o localidad",Latitud,Longitud,Direccion
,NUEVATEL,"CAJA NACIONAL KM 5,5",CB2033,CB2033,CB2533,,URBANO,1,1,0,1,,0,COCHABAMBA,QUILLACOLLO,QUILLACOLLO,-17.390361,-66.205784,"AV. BLANCO GALINDO KM 5.5 2 CUADRAS AL NORTE, ZONA COÑA COÑA."
,NUEVATEL,EL CARMEN RELOCATE,CB2061,CB2061,,,URBANO,1,1,0,0,,0,COCHABAMBA,CERCADO,COCHABAMBA,-17.378528,-66.202414,CALLE DARWIN Y CALLE PASCAL S/N
,NUEVATEL,VILLAVICENCIO,CB2092,CB2092,CB2592,,URBANO,1,1,0,1,,1,COCHABAMBA,CERCADO,COCHABAMBA,-17.381908,-66.195886,AV. SEGUNDA ESQ. TADEO HAENKE
,NUEVATEL,"CAJA NACIONAL KM 5,5",CB2033,CB2033,CB2533,,URBANO,1,1,0,1,,0,COCHABAMBA,QUILLACOLLO,QUILLACOLLO,-17.390361,-66.205784,"AV. BLANCO GALINDO KM 5.5 2 CUADRAS AL NORTE, ZONA COÑA COÑA."
,NUEVATEL,VILLA BUSCH NORTE,CB2009,CB2009,CB2509,,URBANO,1,1,0,1,,1,COCHABAMBA,CERCADO,COCHABAMBA,-17.388146,-66.18913,CALLE ALBERTO ROJAS A 1 CUADRA ANTES DEL CANAL DE AGUA
,NUEVATEL,URA CHIMBA,CB2013,CB2013,CB2513,,URBANO,1,1,0,1,,1,COCHABAMBA,CERCADO,COCHABAMBA,-17.403793,-66.17881,AV. CAÑADA CBBA. A 2 CUADRAS PARQUE MARISCAL STA. CRUZ
,NUEVATEL,IC NORTE (EX IC NORTE HIPODROMO),CB2028,CB2028,,,URBANO,1,1,0,1,,0,COCHABAMBA,CERCADO,COCHABAMBA,-17.38754,-66.18127,AV. D ORBIGNI ESQUINA CALLE ANTOFAGASTA
,NUEVATEL,VILLA BUSCH NORTE,CB2009,CB2009,CB2509,,URBANO,1,1,0,1,,1,COCHABAMBA,CERCADO,COCHABAMBA,-17.388146,-66.18913,CALLE ALBERTO ROJAS A 1 CUADRA ANTES DEL CANAL DE AGUA
,NUEVATEL,IC NORTE (EX IC NORTE HIPODROMO),CB2028,CB2028,,,URBANO,1,1,0,1,,0,COCHABAMBA,CERCADO,COCHABAMBA,-17.38754,-66.18127,AV. D ORBIGNI ESQUINA CALLE ANTOFAGASTA
,NUEVATEL,VILLAVICENCIO,CB2092,CB2092,CB2592,,URBANO,1,1,0,1,,1,COCHABAMBA,CERCADO,COCHABAMBA,-17.381908,-66.195886,AV. SEGUNDA ESQ. TADEO HAENKE
